"","Ancient Greek","Arabic","Armenian","Avestan","Catalan","Celtic","Chinese","Church Slavonic","Danish","Dutch","Egyptian","Finnish","French","Frisian","Ga","German","Germanic","Gothic","Greek","Hebrew","Hittite","Icelandic","Indic","Indo-European","Irish","Italian","Japanese","Latin","Lithuanian","Low German","Mari","Mende","Middle Dutch","Middle English","Middle High German","Middle Irish","Modern Greek","North American Indian","Norwegian","Ojibwa","Old Church Slavonic","Old English","Old French","Old High German","Old Irish","Old Norse","Old Persian","Old Provençal","Persian","Portuguese","Provençal","Russian","Sanskrit","Scots","Slavic","Spanish","Swedish","Welsh","Yiddish"
"Ancient Greek",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Arabic",0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Armenian",0,0,0,1,0,0,0,2,2,3,0,0,0,3,0,3,3,2,2,0,0,0,0,1,1,0,0,2,2,0,0,0,2,3,0,0,0,0,0,0,2,3,0,3,1,2,0,0,0,0,0,1,3,0,1,0,1,1,0
"Avestan",0,0,1,0,0,0,0,7,0,9,0,0,5,6,0,11,10,9,8,0,1,0,0,0,5,0,0,13,6,0,0,0,4,6,0,0,0,0,0,0,7,11,4,7,5,9,1,0,1,0,0,2,10,0,0,0,0,4,0
"Catalan",0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,2,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0
"Celtic",0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Chinese",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Church Slavonic",0,0,2,7,0,0,0,0,6,18,0,0,5,15,1,23,22,17,13,1,4,0,0,2,9,1,0,21,15,0,0,0,9,12,0,0,0,0,0,0,27,26,3,19,8,15,2,0,3,0,0,7,12,0,0,1,2,3,0
"Danish",0,0,2,0,1,0,0,6,0,34,0,0,3,27,0,42,33,20,8,0,3,0,0,5,5,3,0,10,6,0,0,0,20,20,0,0,0,0,2,0,6,39,3,27,5,25,1,0,2,1,0,2,5,0,1,3,19,2,1
"Dutch",0,0,3,9,1,1,0,18,34,0,0,1,13,102,4,137,119,77,22,0,4,1,0,6,12,5,0,39,17,5,1,0,73,65,3,0,0,1,1,1,18,133,7,97,11,84,3,0,5,3,0,5,17,1,2,6,24,7,0
"Egyptian",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Finnish",0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0
"French",1,2,0,5,2,0,0,5,3,13,1,0,0,6,6,35,17,6,46,2,1,1,0,1,3,36,0,318,3,0,1,0,5,61,0,1,0,0,1,0,5,48,303,14,2,6,0,1,0,10,3,1,10,1,0,29,2,3,0
"Frisian",0,0,3,6,0,1,1,15,27,102,0,1,6,0,5,119,117,84,21,0,5,1,0,7,13,3,0,35,14,4,1,0,56,59,3,0,0,1,0,1,15,120,3,96,12,88,3,0,5,0,0,5,17,1,2,3,17,7,0
"Ga",0,0,0,0,0,0,0,1,0,4,0,0,6,5,0,5,5,4,1,1,0,0,0,0,0,2,0,5,0,1,1,0,2,2,0,0,0,0,0,0,1,5,6,3,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0
"German",0,0,3,11,1,1,1,23,42,137,0,1,35,119,5,0,170,97,33,0,5,1,0,9,17,10,1,74,21,6,1,0,70,91,8,1,1,1,2,1,23,195,24,126,15,108,3,0,5,3,0,8,24,1,2,10,28,9,1
"Germanic",0,0,3,10,0,1,1,22,33,119,0,1,17,117,5,170,0,94,26,0,5,1,0,9,14,4,1,51,19,6,1,0,66,80,6,0,1,1,0,1,22,167,8,116,13,104,2,0,4,0,0,6,22,1,2,4,25,7,0
"Gothic",0,0,2,9,0,1,1,17,20,77,0,1,6,84,4,97,94,0,18,0,4,0,0,5,10,2,0,32,15,4,0,0,39,46,1,0,0,0,0,0,17,101,3,76,9,77,3,0,4,0,0,5,15,1,2,1,17,7,0
"Greek",1,1,2,8,1,0,0,13,8,22,1,1,46,21,1,33,26,18,0,1,3,0,0,5,12,6,0,76,11,0,0,0,11,25,1,0,1,0,1,0,13,40,36,22,10,19,2,0,4,1,0,4,16,1,1,4,5,6,0
"Hebrew",0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hittite",0,0,0,1,0,0,0,4,3,4,0,0,1,5,0,5,5,4,3,0,0,0,0,0,4,0,0,5,4,0,0,0,2,4,0,0,0,0,0,0,4,5,1,4,4,4,2,0,3,0,0,1,5,0,0,0,1,1,0
"Icelandic",0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"Indic",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Indo-European",0,0,1,0,0,0,0,2,5,6,0,1,1,7,0,9,9,5,5,0,0,0,0,0,1,0,0,3,2,1,0,0,3,6,0,0,0,0,0,0,2,9,0,6,0,6,0,0,0,0,0,0,3,1,0,0,3,1,0
"Irish",0,0,1,5,0,0,0,9,5,12,0,0,3,13,0,17,14,10,12,0,4,0,0,1,0,0,0,15,10,0,0,0,6,11,0,2,0,0,0,0,9,18,3,16,15,12,1,0,2,0,0,4,8,0,1,0,3,7,0
"Italian",0,1,0,0,2,0,0,1,3,5,0,0,36,3,2,10,4,2,6,0,0,0,0,0,0,0,0,35,0,1,0,0,2,10,0,0,0,0,1,0,1,13,30,2,0,0,0,1,0,10,3,0,1,0,0,28,2,0,0
"Japanese",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Latin",1,2,2,13,2,0,0,21,10,39,1,0,318,35,5,74,51,32,76,2,5,1,1,3,15,35,0,0,20,0,2,0,20,79,3,2,0,0,1,0,21,89,269,44,12,31,1,1,3,10,3,7,25,1,1,29,7,7,0
"Lithuanian",0,0,2,6,0,0,0,15,6,17,0,0,3,14,0,21,19,15,11,1,4,0,0,2,10,0,0,20,0,0,0,0,9,12,0,1,0,0,0,0,15,22,3,17,8,12,2,0,4,0,0,4,11,0,2,0,4,4,0
"Low German",0,0,0,0,0,0,0,0,0,5,0,0,0,4,1,6,6,4,0,0,0,0,0,1,0,1,0,0,0,0,0,0,3,3,1,0,0,0,0,0,0,6,0,1,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0
"Mari",0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mende",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Middle Dutch",0,0,2,4,1,1,0,9,20,73,0,1,5,56,2,70,66,39,11,0,2,1,0,3,6,2,0,20,9,3,1,0,0,35,3,0,0,0,1,0,9,71,2,57,6,44,0,0,2,0,0,4,11,0,1,3,16,5,0
"Middle English",0,0,3,6,0,0,1,12,20,65,0,1,61,59,2,91,80,46,25,1,4,0,0,6,11,10,0,79,12,3,0,0,35,0,2,0,0,1,0,1,12,109,51,56,11,50,1,0,3,2,0,4,17,0,2,8,15,4,0
"Middle High German",0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,8,6,1,1,0,0,0,0,0,0,0,0,3,0,1,0,0,3,2,0,0,0,0,0,0,0,8,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"Middle Irish",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Modern Greek",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"North American Indian",0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Norwegian",0,0,0,0,1,0,0,0,2,1,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"Ojibwa",0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Old Church Slavonic",0,0,2,7,0,0,0,27,6,18,0,0,5,15,1,23,22,17,13,1,4,0,0,2,9,1,0,21,15,0,0,0,9,12,0,0,0,0,0,0,0,26,3,19,8,15,2,0,3,0,0,7,12,0,0,1,2,3,0
"Old English",0,0,3,11,1,1,1,26,39,133,0,1,48,120,5,195,167,101,40,0,5,1,0,9,18,13,1,89,22,6,1,0,71,109,8,1,1,1,1,1,26,0,37,123,15,108,3,0,5,2,0,7,26,1,2,12,27,10,1
"Old French",0,2,0,4,2,0,0,3,3,7,1,0,303,3,6,24,8,3,36,2,1,0,0,0,3,30,0,269,3,0,1,0,2,51,0,1,0,0,1,0,3,37,0,7,2,2,0,1,0,10,3,1,8,0,0,26,2,3,0
"Old High German",0,0,3,7,0,1,1,19,27,97,0,1,14,96,3,126,116,76,22,0,4,1,0,6,16,2,0,44,17,1,1,0,57,56,1,1,0,0,0,0,19,123,7,0,14,88,2,0,4,0,0,7,19,1,2,3,21,9,0
"Old Irish",0,0,1,5,0,0,0,8,5,11,0,0,2,12,0,15,13,9,10,0,4,0,0,0,15,0,0,12,8,0,0,0,6,11,0,0,0,0,0,0,8,15,2,14,0,11,1,0,2,0,0,4,7,0,1,0,3,6,0
"Old Norse",0,0,2,9,0,0,1,15,25,84,0,1,6,88,3,108,104,77,19,0,4,1,0,6,12,0,0,31,12,2,0,0,44,50,3,0,0,0,0,0,15,108,2,88,11,0,3,0,3,0,0,4,16,1,2,1,19,6,0
"Old Persian",0,0,0,1,0,0,0,2,1,3,0,0,0,3,0,3,2,3,2,0,2,0,0,0,1,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,2,3,0,2,1,3,0,0,3,0,0,0,2,0,0,0,0,0,0
"Old Provençal",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0
"Persian",0,0,0,1,0,0,0,3,2,5,0,0,0,5,0,5,4,4,4,0,3,0,0,0,2,0,0,3,4,0,0,0,2,3,0,0,0,0,0,0,3,5,0,4,2,3,3,0,0,0,0,1,4,0,0,0,1,1,0
"Portuguese",0,0,0,0,1,0,0,0,1,3,0,0,10,0,0,3,0,0,1,0,0,0,0,0,0,10,0,10,0,0,0,0,0,2,0,0,0,0,0,0,0,2,10,0,0,0,0,1,0,0,3,0,0,0,0,10,1,0,0
"Provençal",0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,3,0,0,0,0,0,3,0,0,0
"Russian",0,0,1,2,0,0,0,7,2,5,0,0,1,5,0,8,6,5,4,0,1,0,0,0,4,0,0,7,4,0,0,0,4,4,0,0,0,0,0,0,7,7,1,7,4,4,0,0,1,0,0,0,4,0,0,0,1,2,0
"Sanskrit",0,0,3,10,0,0,0,12,5,17,0,1,10,17,0,24,22,15,16,0,5,0,0,3,8,1,0,25,11,1,0,0,11,17,0,1,0,0,0,0,12,26,8,19,7,16,2,0,4,0,0,4,0,0,1,1,3,7,0
"Scots",0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Slavic",0,0,1,0,0,0,0,0,1,2,0,0,0,2,0,2,2,2,1,0,0,0,0,0,1,0,0,1,2,0,0,0,1,2,0,0,0,0,0,0,0,2,0,2,1,2,0,0,0,0,0,0,1,0,0,0,2,1,0
"Spanish",0,1,0,0,2,0,0,1,3,6,0,0,29,3,1,10,4,1,4,0,0,1,0,0,0,28,0,29,0,0,0,0,3,8,0,0,0,0,1,0,1,12,26,3,0,1,0,1,0,10,3,0,1,0,0,0,2,0,0
"Swedish",0,0,1,0,0,0,0,2,19,24,0,1,2,17,0,28,25,17,5,0,1,0,0,3,3,2,0,7,4,1,0,0,16,15,0,0,0,0,0,0,2,27,2,21,3,19,0,0,1,1,0,1,3,0,2,2,0,3,0
"Welsh",0,0,1,4,0,1,0,3,2,7,0,1,3,7,0,9,7,7,6,0,1,0,0,1,7,0,0,7,4,0,0,0,5,4,0,0,0,0,0,0,3,10,3,9,6,6,0,0,1,0,0,2,7,0,1,0,3,0,0
"Yiddish",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
