Number,Language
1,Abkhazian
2,Achinese
3,Acoli
4,Adangme
5,Adyghe
6,Afar
7,Afrihili
8,Afrikaans
9,Afro-Asiatic languages
10,Akan
11,Akkadian
12,Albanian
13,Aleut
14,Algonquian languages
15,Amharic
16,Apache languages
17,Arabic
18,Aragonese
19,Aramaic
20,Arapaho
21,Araucanian
22,Arawak
23,Armenian
24,Assamese
25,Asturian
26,Athapascan languages
27,Australian languages
28,Austronesian
29,Avaric
30,Avestan
31,Awadhi
32,Aymara
33,Azerbaijani
34,Balinese
35,Baluchi
36,Bambara
37,Bamileke languages
38,Banda
39,Bantu
40,Basa
41,Bashkir
42,Basque
43,Batak
44,Beja
45,Belarusian
46,Bemba
47,Bengali
48,Berber
49,Bhojpuri
50,Bihari
51,Bikol
52,Bini
53,Bislama
54,Blin; Bilin
55,Norwegian Bokmal
56,Bosnian
57,Braj
58,Breton
59,Buginese
60,Bulgarian
61,Buriat
62,Burmese
65,Caddo
66,Carib
67,Castilian
68,Catalan
69,Cebuano
70,Celtic
71,Central American Indian
72,Chagatai
73,Chamic languages
74,Chamorro
75,Chechen
76,Cherokee
77,Cheyenne
78,Chibcha
79,Chichewa
79,Chewa
79,Nyanja
80,Chinese
81,Chinook
82,Chipewyan
83,Choctaw
84,Chuang
85,Chuukese
86,Chuvash
87,Classical Newari
88,Coptic
89,Cornish
90,Corsican
91,Cree
92,Creek
93,Creoles and pidgins
97,Crimean Tatar
97,Crimean Turkish
98,Croatian
99,Cushitic
100,Czech
101,Dakota
102,Danish
103,Dargwa
104,Dayak
105,Delaware
106,Dinka
107,Divehi
108,Dogri
109,Dogrib
110,Dravidian
111,Duala
112,Dutch
112,Flemish
113,Middle Dutch
114,Dyula
115,Dzongkha
118,Efik
119,Egyptian
120,Ekajuk
121,Elamite
123,Middle English
124,Old English
125,Erzya
126,Esperanto
127,Estonian
128,Ewe
129,Ewondo
130,Fang
131,Fanti
132,Faroese
133,Fijian
134,Filipino
134,Pilipino
135,Finnish
136,Finno-Ugrian
138,Fon
139,French
140,Middle French
141,Old French
142,Frisian
143,Friulian
144,Fulah
147,Ga
148,Gaelic
148,Scottish Gaelic
149,Gallegan
150,Ganda
151,Gayo
152,Gbaya
153,Geez
154,Georgian
155,German
156,Low German
156,Low Saxon
157,Middle High German
158,Old High German
159,Germanic
160,Gikuyu
161,Gilbertese
162,Gondi
163,Gorontalo
164,Gothic
165,Grebo
166,Ancient Greek
166,Greek
167,Modern Greek
168,Greenlandic
169,Guarani
170,Gujarati
171,Gwich'in
172,Haida
173,Haitian
174,Hausa
175,Hawaiian
176,Hebrew
177,Herero
178,Hiligaynon
179,Himachali
180,Hindi
181,Hiri Motu
182,Hittite
183,Hmong
184,Hungarian
185,Hupa
188,Iban
189,Icelandic
190,Ido
191,Igbo
192,Ijo
193,Iloko
194,Inari Sami
195,Indic
196,Indo-European
197,Indonesian
198,Ingush
200,Interlingue
201,Inuktitut
202,Inupiaq
203,Iranian
204,Irish
205,Middle Irish
206,Old Irish
207,Iroquoian languages
208,Italian
209,Japanese
210,Javanese
211,Judeo-Arabic
212,Judeo-Persian
216,Kabardian
217,Kabyle
218,Kachin
219,Kalaallisut
220,Kalmyk
221,Kamba
222,Kannada
223,Kanuri
224,Karachay-Balkar
225,Kara-Kalpak
226,Karen
227,Kashmiri
228,Kashubian
229,Kawi
230,Kazakh
231,Khasi
232,Khmer
233,Khoisan
234,Khotanese
235,Kikuyu
236,Kimbundu
237,Kinyarwanda
238,Kirghiz
240,Komi
241,Kongo
242,Konkani
243,Korean
244,Kosraean
245,Kpelle
246,Krio
247,Kru
248,Kumyk
249,Kurdish
250,Kurukh
251,Kutenai
252,Kwanyama
253,Ladino
254,Lahnda
255,Lamba
256,Lao
257,Latin
258,Latvian
259,Lezghian
260,Limburgan
260,Limburger
260,Limburgish
261,Lingala
262,Lithuanian
263,Lojban
265,Lower Sorbian
266,Lozi
267,Luba-Katanga
268,Luba-Lulua
269,Luiseno
270,Lule Sami
271,Lunda
272,Luo
273,Lushai
274,Luxembourgish
277,Macedonian
278,Madurese
279,Magahi
280,Maithili
281,Makasar
282,Malagasy
283,Malay
284,Malayalam
285,Maltese
286,Manchu
287,Mandar
288,Mandingo
289,Manipuri
290,Manobo languages
291,Manx
292,Maori
293,Marathi
294,Mari
295,Marshallese
296,Marwari
297,Masai
298,Mayan languages
299,Mende
300,Mi'kmaq
301,Minangkabau
302,Mirandese
303,Mohawk
304,Moksha
305,Moldavian
306,Mon-Khmer
307,Mongo
308,Mongolian
309,Mossi
310,Multiple languages
311,Munda languages
312,Nahuatl
313,Nauru
314,Navajo
315,North Ndebele
316,South Ndebele
317,Ndonga
318,Neapolitan
319,Nepal Bhasa
320,Nepali
321,Nias
322,Niger-Kordofanian
323,Nilo-Saharan
324,Niuean
325,Nogai
326,Old Norse
327,North American Indian
328,Northern Sami
329,Northern Sotho
330,North Ndebele
331,Norwegian
332,Nubian languages
333,Nyamwezi
335,Nyankole
336,Norwegian Nynorsk
337,Nyoro
338,Nzima
341,Occitan
342,Ojibwa
343,Old Newari
344,Old Slavonic
344,Church Slavonic
344,Old Bulgarian
344,Church Slavic
344,Old Church Slavonic
345,Oriya
346,Oromo
347,Osage
348,Ossetic
348,Ossetian
349,Otomian languages
350,Pahlavi
351,Palauan
352,Pali
353,Pampanga
354,Pangasinan
355,Panjabi
356,Papiamento
357,Papuan
358,Pedi
359,Persian
360,Old Persian
361,Phoenician
363,Pohnpeian
364,Polish
365,Portuguese
366,Prakrit languages
367,Provençal
368,Old Provençal
369,Punjabi
370,Pushto
373,Quechua
374,Raeto-Romance
375,Rajasthani
376,Rapanui
377,Rarotongan
378,Romance
379,Romanian
380,Romany
381,Rundi
382,Russian
385,Salishan languages
386,Samaritan Aramaic
387,Sami languages
388,Samoan
389,Sandawe
390,Sango
391,Sanskrit
392,Santali
393,Sardinian
394,Sasak
396,Scots
398,Selkup
399,Semitic
400,Sepedi
401,Serbian
402,Serer
403,Shan
404,Shona
405,Sichuan Yi
406,Sicilian
407,Sidamo
408,Sign languages
409,Siksika
410,Sindhi
411,Sinhalese
411,Sinhala
412,Sino-Tibetan
413,Siouan languages
414,Skolt Sami
416,Slavic
417,Slovak
418,Slovenian
419,Sogdian
420,Somali
421,Songhai
422,Soninke
423,Sorbian languages
426,South American Indian
427,Southern Sami
428,South Ndebele
429,Spanish
430,Sukuma
431,Sumerian
432,Sundanese
433,Susu
434,Swahili
435,Swati
436,Swedish
437,Syriac
438,Tagalog
439,Tahitian
440,Tai
441,Tajik
442,Tamashek
443,Tamil
444,Tatar
445,Telugu
446,Tereno
447,Tetum
448,Thai
449,Tibetan
450,Tigre
451,Tigrinya
452,Timne
453,Tiv
454,Tlingit
455,Tok Pisin
456,Tokelau
457,Nyasa
458,Tonga
459,Tsimshian
460,Tsonga
461,Tswana
462,Tumbuka
463,Tupi languages
464,Turkish
465,Ottoman Turkish
466,Turkmen
467,Tuvalu
468,Tuvinian
469,Twi
472,Udmurt
473,Ugaritic
474,Uighur
475,Ukrainian
476,Umbundu
477,Upper Sorbian
478,Urdu
479,Uyghur
480,Uzbek
481,Vai
482,Valencian
483,Venda
484,Vietnamese
485,Volapuk
486,Votic
487,Wakashan languages
488,Walamo
489,Walloon
490,Waray
491,Washo
492,Welsh
493,Wolof
494,Xhosa
495,Yakut
496,Yao
497,Yapese
498,Yiddish
499,Yoruba
500,Yupik languages
501,Zande
502,Zapotec
503,Zenaga
504,Zhuang
505,Zulu
506,Zuni
